"Date","Price","Open","High","Low","Vol.","Change %"
"07/29/2021","292.90","287.55","295.40","287.55","57.73M","2.97%"
"07/28/2021","284.45","290.00","290.90","283.60","36.14M","-2.39%"
"07/27/2021","291.40","293.00","297.65","288.60","55.13M","-0.60%"
"07/26/2021","293.15","295.00","297.00","291.00","27.50M","-0.81%"
"07/23/2021","295.55","300.50","301.90","295.00","33.44M","-2.31%"
"07/22/2021","302.55","305.50","307.45","301.05","21.34M","0.13%"
"07/20/2021","302.15","307.00","308.00","301.05","27.67M","-2.17%"
"07/19/2021","308.85","308.95","310.30","306.00","21.35M","-0.77%"
"07/16/2021","311.25","311.10","315.45","310.50","25.15M","0.32%"
"07/15/2021","310.25","310.50","312.85","307.60","23.62M","0.23%"
"07/14/2021","309.55","310.00","313.30","308.65","21.86M","-0.45%"
"07/13/2021","310.95","310.00","312.25","308.15","25.74M","1.14%"
"07/12/2021","307.45","310.80","312.00","306.10","32.28M","0.38%"
"07/09/2021","306.30","305.80","308.85","301.85","48.81M","-0.02%"
"07/08/2021","306.35","314.80","314.80","305.00","87.36M","-3.39%"
"07/07/2021","317.10","316.00","319.10","306.25","112.18M","0.06%"
"07/06/2021","316.90","348.00","358.20","311.50","164.08M","-8.44%"
"07/05/2021","346.10","347.05","350.10","344.00","18.40M","0.35%"
"07/02/2021","344.90","345.30","345.55","340.50","18.30M","0.19%"
"07/01/2021","344.25","341.50","347.40","341.20","27.94M","1.37%"
"06/30/2021","339.60","342.00","345.35","338.85","18.28M","-0.57%"
"06/29/2021","341.55","342.65","346.50","339.60","22.46M","-0.36%"
"06/28/2021","342.80","340.80","345.00","337.55","17.84M","0.93%"
"06/25/2021","339.65","335.90","342.80","335.90","22.43M","1.49%"
"06/24/2021","334.65","335.00","337.40","333.35","15.58M","-0.18%"
"06/23/2021","335.25","341.00","343.25","334.30","25.74M","-0.78%"
"06/22/2021","337.90","337.10","344.30","336.15","26.71M","1.08%"
"06/21/2021","334.30","330.90","335.80","326.20","29.12M","-0.92%"
"06/18/2021","337.40","345.65","346.90","329.00","49.44M","-2.39%"
"06/17/2021","345.65","348.40","352.90","342.25","29.24M","-1.06%"
"06/16/2021","349.35","350.10","356.00","348.10","27.55M","-0.95%"
"06/15/2021","352.70","355.75","360.75","351.50","35.53M","-0.91%"
"06/14/2021","355.95","350.05","357.90","341.10","38.48M","1.48%"
"06/11/2021","350.75","346.00","352.90","344.35","36.44M","1.74%"
"06/10/2021","344.75","345.20","347.85","342.40","24.35M","0.41%"
"06/09/2021","343.35","356.20","358.90","339.75","59.33M","-2.66%"
"06/08/2021","352.75","346.25","356.65","337.50","44.11M","2.10%"
"06/07/2021","345.50","339.75","351.00","339.75","64.99M","3.15%"
"06/04/2021","334.95","325.15","336.90","324.25","41.28M","2.86%"
"06/03/2021","325.65","325.30","327.70","323.65","21.41M","0.82%"
"06/02/2021","323.00","315.95","324.40","315.60","26.32M","1.54%"
"06/01/2021","318.10","319.20","325.70","317.30","32.60M","-0.20%"
"05/31/2021","318.75","318.70","319.75","312.10","30.92M","0.00%"
"05/28/2021","318.75","322.65","324.50","316.50","26.62M","0.05%"
